"DEPARTURE","ARRIVAL","ORIGIN","DEST","DISTANCE","DEP_DELAY","ARR_DELAY",
1456818720,1456832472,"JFK","LAX",2475.00,-8.00,-20.00, 
1456905360,1456919436,"JFK","LAX",2475.00,-4.00,-7.00, 
1456991760,1457005548,"JFK","LAX",2475.00,-4.00,-15.00, 
1457078100,1457094588,"JFK","LAX",2475.00,-5.00,59.00, 
1457165100,1457178384,"JFK","LAX",2475.00,5.00,-20.00, 
1456821060,1456832292,"LAX","JFK",2475.00,31.00,14.00, 
1456905420,1456916940,"LAX","JFK",2475.00,-3.00,-12.00, 
1456991880,1457003472,"LAX","JFK",2475.00,-2.00,-9.00, 
1457078220,1457089704,"LAX","JFK",2475.00,-3.00,-13.00, 
1457164680,1457176200,"LAX","JFK",2475.00,-2.00,-11.00, 
1456831440,1456844400,"JFK","LAX",2475.00,-6.00,-30.00, 
1456918200,1456931952,"JFK","LAX",2475.00,0.00,-2.00, 
1457004300,1457018232,"JFK","LAX",2475.00,-5.00,-2.00, 
1457090700,1457106000,"JFK","LAX",2475.00,-5.00,36.00, 
1457177100,1457190960,"JFK","LAX",2475.00,-5.00,-4.00, 
1456831440,1456843032,"LAX","JFK",2475.00,-6.00,-13.00, 
1456917900,1456929312,"LAX","JFK",2475.00,-5.00,-17.00, 
1457004360,1457016204,"LAX","JFK",2475.00,-4.00,-4.00, 
1457090760,1457102604,"LAX","JFK",2475.00,-4.00,-4.00, 
1457177100,1457189232,"LAX","JFK",2475.00,-5.00,3.00, 
1456827840,1456846452,"DFW","HNL",3784.00,29.00,22.00, 
1456912380,1456931748,"DFW","HNL",3784.00,-2.00,12.00, 
1456998900,1457018052,"DFW","HNL",3784.00,0.00,8.00, 
1457085120,1457103660,"DFW","HNL",3784.00,-3.00,-12.00, 
1457171460,1457190144,"DFW","HNL",3784.00,-4.00,-9.00, 
1456816980,1456819248,"OKC","DFW",175.00,-2.00,-8.00, 
1456904580,1456906524,"OKC","DFW",175.00,18.00,3.00, 
1456989540,1456992420,"OKC","DFW",175.00,-6.00,5.00, 
1457076000,1457077836,"OKC","DFW",175.00,-5.00,-23.00, 
1457162340,1457164464,"OKC","DFW",175.00,-6.00,-16.00, 
1456850760,1456864836,"OGG","DFW",3711.00,-14.00,-53.00, 
1456936980,1456951668,"OGG","DFW",3711.00,-17.00,-39.00, 
1457023980,1457038848,"OGG","DFW",3711.00,-7.00,-24.00, 
1457109720,1457124480,"OGG","DFW",3711.00,-18.00,-38.00, 
1457197020,1457211888,"OGG","DFW",3711.00,-3.00,-20.00, 
1456821420,1456839456,"DFW","OGG",3711.00,32.00,19.00, 
1456906380,1456925064,"DFW","OGG",3711.00,8.00,13.00, 
1456993560,1457011416,"DFW","OGG",3711.00,21.00,3.00, 
1457078640,1457097360,"DFW","OGG",3711.00,-1.00,5.00, 
1457164680,1457182644,"DFW","OGG",3711.00,-7.00,-22.00, 
1456853580,1456868304,"HNL","DFW",3784.00,-7.00,-37.00, 
1456939800,1456954884,"HNL","DFW",3784.00,-10.00,-30.00, 
1457026380,1457041896,"HNL","DFW",3784.00,-7.00,-15.00, 
1457112840,1457127528,"HNL","DFW",3784.00,-6.00,-37.00, 
1457199180,1457213976,"HNL","DFW",3784.00,-7.00,-35.00, 
1456811640,1456825932,"JFK","SFO",2586.00,-6.00,-4.00, 
1456898220,1456913304,"JFK","SFO",2586.00,-3.00,21.00, 
1456984500,1456998504,"JFK","SFO",2586.00,-5.00,-11.00, 
1457071140,1457086944,"JFK","SFO",2586.00,-1.00,43.00, 
1457157240,1457171064,"JFK","SFO",2586.00,-6.00,-17.00, 
1456863720,1456874664,"LAX","JFK",2475.00,-8.00,-18.00, 
